Time,Company,Price,Volume,Market Cap
2024-04-19 09:57:38,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:57:38,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:57:38,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:57:38,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:57:52,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:57:52,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:57:52,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:57:52,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:57:52,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:57:52,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:58:06,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:58:06,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:58:06,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:58:06,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:58:06,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:58:06,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:58:20,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:58:20,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:58:20,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:58:20,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:58:20,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:58:20,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:58:34,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:58:34,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:58:34,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:58:34,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:58:34,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:58:34,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:58:48,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:58:48,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:58:48,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:58:48,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:58:48,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:58:48,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:59:02,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:59:02,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:59:02,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:59:02,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:59:02,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:59:02,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:59:16,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:59:16,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:59:16,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:59:16,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:59:16,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:59:16,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:59:30,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:59:30,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:59:30,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:59:30,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:59:30,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:59:30,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:59:44,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:59:44,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:59:44,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:59:44,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
